text,toxic
"as vezes dá vontade sabe, mas já aceitei q n vai acontece kkkkk",0
"eu tava muito linda ontem,pqp",1
"rt @user que babaca arrogante, acha que é a última palavra do direito, vsfder. https://t.co/dasl7caau3",1
@user bolsonaro surfistinho...😂,0
@user ele queria nudes da alma mas eu só tinha foto do pau 😔,1
estou morrendo de saudades 💕❤,0
@user Pena de morte já para esses lixos assassinos confessos! Gastar dinheiro com gente como essas aí é sim desperdício de quem paga a conta! NÃO EXISTE DIREITOS HUMANOS PARA PESSOAS ASSIM E EU NÃO SOU BOLSOMINION PORRA!,1
só queria não pensar em muita coisa...,0
@user @user @user porra cheguei de sv na merda fi kkkkkkkk,1
"rt @user se eu tivesse amigos assim, eu já teria pegado todos kkk
#mpn #nowunited https://t.co/hlvdzauvte",0
@user herói vegetariano é outro patamar,0
@user saudades do nosso amigo seedorf,0
"Realmente...
Pensar eu o que eles disseram dos professores ,na saúde, nos transportes publicos,da cgtp,etc,agora numa greve entre privados,nem tocar...
Já não tenho idade,mas aqui vai. ..pro caralho...",1
"fico puta quando vejo essas coisas, namoral",1
@user @user @user um cara que em 30 anos não fez nada de relevante não vai dar jeito no país nunca,0
tá errada não,0
meu deus até o richard...........,0
@user poxa queria engolir o pau do jungkook inteirinho😔,1
"@user @user @user Azul linhas aéreas meu amigo, não precisamos patrocinio gringo, precisamos de alguem que valorize nosso clube e nosso país.",0
"nunca fiquei tão triste na vida, pqp, emocionada demaissssss, tenho que acostumar a esperar tudo !!!",0
"rt @user orra já acordo me estressando, vsf 🤬",0
eu odeio as ligações da vivo pqp q pertubação,1
tô sentindo uma saudade do caralho de você 😓😭,0
tem que limpar toda essa merda.,0
"@user pra mim tá claro que ele não foi dar essa caneta, não sei pra vocês",0
shawn mendes eh homofobico pq ja deixou claro que não eh gay cancelem essa aberração 😡,1
@user bolsonaro se vingou da globo ???? essa folha de são paulo é um lixo mesmo ! 😀,1
só pq nasci feio,0
"aí caralho,q gato",0
"@user lula tá preso, babaca!",1
"@user @user @user @user Lol, se calhar eu 茅 q tenho q me acalmar antes de responder. ;) Mas o q @user @user disse nem 茅 t茫o fora. N 茅 dif铆cil encontrar pessoas para qm 茅 mesmo assim q tem de ser. E 茅 por isso q eu passo a ferro desde mi煤da e mts amigos da minha idd n sabem ou aprenderam para a铆 aos 30.",0
"@user @user @user @user por isso foi esculachado pelo @user  , esse neto é escroto sem cérebro.",1
"mano, eu amo sair com quem n tem frescura, n fica de cara feia, e super fecha cmg, a karen e a bia são dessas",0
rt @user @user essa tag está sempre atual! #stfvergonhanacional,0
@user eita carai nao moss kkkkk,1
"@user Na Ucrânia as autoridades desrespeitaram as instituições e a liturgia dos cargos, esqueceram que todo poder emana do povo, que apenas exercem o poder por outorga do povo, e por tempo limitado.
Resultado: o povo colocou os pingos nos is... lata do lixo, literalmente.
🇧🇷 🇮🇱 🇺🇸",0
@user meu deus????? fico espantado q parece q os jornalista não fazem o mínimo,1
ela disse que eu não valho nada por isso que essa noite ela vem fuder comigo,1
"Desgoverno da destruição, esconde dados !. estamos sendo enganados e roubados de todos lados e agora a certeza que esses covardes vão manipular dados para apresentação da falsa realmente.. até o presente mostrar o contrário a destruição visível do país.!. #ForaBol卐onaro",1
@user @user porra lua para de decifrar meus asterisco,1
"Gente agora é sério, pq só comigo que não acontece de eu gostar da pessoa pra caralho e ela gostar de mim pra caralho???? Oq eu tenho de errado vsfdddd",1
"""Aquecimento global é uma mentira!"" ESTUDO A BASE DE YOUTUBE NÃO TE FAZ SABIO, TE FAZ SER UM IGNORANTE DE MERDA MESMO! VAI ESTUDAR UMA PORRA DE UMA BIOLOGIA E FÍSICA",1
“juma épica”,0
não aguento mais essas gringas me colocando em grupo de puta no instagram gente,1
rt @user preocupação do carai com a minha vida vou mandar um boleto pra tu pagar visse,0
"hoje o dia está lindo, perfeito para levar um tiro e-- parei",0
rt @user e nesse tempo ganhou uma copa do brasil e dois campeonatos brasileiros 馃サ https://t.co/jmypqr9zg3,0
"as pessoas falando que t么 escutando funk s贸 pra ver a raba das meninas kkkkkkkkkkk, voc锚s j谩 me respeitaram mais",0
rt @user pqp anitta??? garota???? mdsss https://t.co/rngttnhkio,0
chama na glória,0
"R$ 32,90 cada | #DiaDosPais
É ideal para quem busca conforto na leitura da #PalavradeDeus e, ao mesmo tempo, praticidade no uso e transporte diários. 🛒 https://t.co/Q0F4fCyMU7

Válido por tempo limitado! https://t.co/vAZF39YCd8",0
"É ridículo cobrar o que deve ser espontâneo, mas é na esperança de mudar algo e a pessoa simplesmente te dar valor quando na verdade é pura perda de tempo e no fim sabemos que isso não vai mudar nunca até seguir o baile e aparecer alguém que faça o que o outro não faz",1
"rt @user maldita é a boca que me julga, sendo pior que eu... 🤐",0
rt @user kkkk é o melhor que nos tem kk https://t.co/l6xi9opest,0
"tô com uma puta sdds do meu filho, mas estou c mt preguiça de ir p catarina",1
@user @user @user @user O que vagabundo? Tu ta em rede social fela da puta.... falou tem resposta. Seu pau no cu,1
kkkkkkkk que otário tomo um pau,1
rt @user q saco eu odeio bater neurose c bagulho nada a ver mas ai fico surtano soznha vai tomar no cu,1
@user aben莽oado seja geezer butler.,0
a recuperação de português..,0
"rt @user meta: 50 rts nessa foto e cinquenta comentários com a tag. vamos? 
artista internacional favorito 
#nowunited #mpn https://…",0
olhem esse levantamento da roberta pqp que obra de arteeee https://t.co/lrfkq1i7es,0
"rt @user pior coisa de fazer aniversário em agosto é essa porra desse frio, não da nem pra pegar uma área de lazer porque tá esse frio…",0
@user deixa o pericles em paz filho da puta,1
rt @user entendeuuuu https://t.co/9dvjqxxnvj,0
"da pra acreditar nisso mano, ninguém liga pra nada nessa porra.

fonte: brasil de fato https://t.co/ygd8eq3spx",1
"Man, vê o negão dando uns murro nele é muito satisfatório... (não sou a favor da violência, mas pqp tem casos que são necessários)",1
"@user @user Eu acho que sua indignação não deveria ser com o @user Até porque é claro para todos como a milícia virtual do governo existe e muitas vezes os discursos, no mínimo, compartilham o mesmo modus operandi do governo. Até quando ela vai agir para manipular a opinião popular?",0
"Não fiz o gol , mais dei assistência pra um gol que foi o único , e tomamos a virada pra 3x1 , fico puto quando perdemos por Baguio besta , pqp 🙄",1
"@user @user se fumar, não tuíte kkkkkkkkk toma trouxa",0
volteeei pras puta 馃幎,0
"O @user por meio do ministro da Infraestrutura @user recebeu hoje o secretário de Comércio dos Estados Unidos, Wilbur Ross. Durante a reunião, o ministro apresentou os principais projetos p/ investimentos privados em rodovias, ferrovias, portos e aeroportos. https://t.co/4kPWp0JQe2",0
"@user @user @user ninguém lembra desse cara, só do lahm mesmo",0
"O mal do jovem é se achar muito e não ser porra nenhuma. Viver de stts e aparência é tão superficial... Cada um com seu cada um né, sem julgamentos...",0
pqp perdi o jogo de vôlei hoje,0
"treinador do am茅rica admite: ""茅 dif铆cil contar com uribe para o jogo de amanh茫"" https://t.co/ha78mfocsg",0
"quando o mar vier trará nas águas uma mulher 
ela vem como quem não quer nada além de alguém que lhe trate bem",0
joga no lixo,0
rt @user “toma no cu tô aqui nessa bosta queria mesmo é tá jogando no são paulo” https://t.co/ovgasgmdov,1
"i caralho, ta chovendo?",0
tô afim de fazer um lomotif só de foto feia,1
"@user @user k-army não contém cmg pra nada! 

pqp, vão ser mimadas assim no infernooo oh caralhoooooooooo",1
auge do dia é eu ter que me manter ocupada porq se eu ficar sem o que fazer vou ficar mal pensando em como sou um lixo pra pessoa mais importante pra mim e não me toquei,0
queria saber disfarçar a cara de cu,1
só falta a mara se apresentar,0
quanto de cu ce colocou ai?,1
@user @user @user continua sendo fofo so que tu é a anã😍,0
libera a cocaína ent meu caralho alado,1
rt @user eu amo ser solteira vsf,0
@user faço questão de ver de novo o vídeo original. então vou dizer tudo que foi manipulado nesse vídeo de taekooka,0
virar vagabundo jamais,1
@user porque você é foda pra caralho,0
"3º dia da 38ª Jornada Carioca de Cirurgia Plásticas - Baker Gordon Symposiun, em breve conteúdo inédito e todas as novidades do evento. 💉sbcp_rj #CirurgiaPlastica #PlasticSurgery #DraNathaliaFagundes… https://t.co/xuOlPwK8pw",0
tô vendo a hora eu tacar fogo nessas burguesa do caralho,1
puta q pariu meu coração,0
pior que eu sonhei uns dias antes que tirava uma nota x no inglês e eu incrivelmente tirei ela kkkkk pqp,1
"@user jesus, deve ser uma s铆ndrome sem cura ser petista!!
haja burrice, intoler芒ncia, ignor芒ncia entre outros adjetivos!!!",1
@user Usa a t茅cnica da garrafinha gelada do lado da cama kkkk por茅m vai ter efeitos colaterais. Vai ter que levantar pra ir no banheiro kkk,0
ai você ta de boa na rua e passa uma pessoa carregando isso #mpn #luansantana #luanetes #luansantanashow,0
@user @user @user dudu ppp e suas bo莽alidades.....babaca.,1
"@user alem de todo mundo que tem filho pequeno e vê o ''serviço maravilhoso'' que ele presta junto com seu irmão,eles são os principais responsáveis pela disseminação da idiotice e da falta de conteúdo no YTBR,claro que o algoritmo é um lixo,mas esses dois meu deus do céu...",1
rt @user ou vai tomar no cu,1
tem de parar com esse povinho que insiste em entrevistar esse bandido condenado.,1
"Ela, Capitã Marvel e Doutor Estranho acabariam com ele, porém tem que deixar o Capitão América e o Homem de Ferro seres os protagonistas, óbvio né kkkkk https://t.co/MesHCJGAah",0
kjkkkkkkkkkkkkkkkkk tô passando mal vei,0
"@user @user @user vamos ver na justiça quem é verme e aberração ok
já tenho os prints dos seus xingamentos",1
"o 9º ano foi o melhor sem duvidas!!!!!  fiquei amiga da pessoa q eu jamais acharia q me aproximaria, e puta merda a gnt vivia juntas",0
"e eu que passei uns 2 meses pegando a identidade pra olhar, quando entrei na faculdade 
o povo puto cmg pq não liberava a catraca logo",0
eu quero também! a esquerda está maluca.,0
"depois dessa eu só tenho a dizer...
carai neguim essa foi de fude kkk bjs",1
"Yony querendo um pouco mais de 3 milh玫es de reais EM LUVAS, pra renovar com fluminense kkkkkkkkkkkk t谩 viajando esse cara, deve ta querendo ralar j谩",0
@user @user putinha aguenta 3,1
"puta que pariu, já tem material de farmacologia no moodle
eu to realmente surtando",0
"@user alface: aberração
 https://t.co/8gyg8ckuqo",1
kkkkkkkkk eu amo esse viado mano ❤️❤️❤️❤️,0
malicia na cara ela joga na cara o jeito que balança esse lança é bom demais,1
@user @user Daora é que é tão foda e mind blowing que nem funciona como spoiler caso alguém reclame de tão EITA PORRA CARAIA. E nessa fase da série tudo é assim! Hahahahaha Eu amo. ♥️,0
"Se esses vermes da suprema corte brasileira não fizessem tanta merda e tirassem tanto vagabundo da cadeia e essa modomia desvairada tem que acabar,e não quer ser assunto eles tem que sair de lá  urgente. https://t.co/9rbcngx6DI",1
queria amigos que me chamassem para rolês,0
rt @user já estou farta de ser amiga de toda gente é só levar facadas nas costas,0
"rt @user psicopata!!!!... bolsonaro está envolvido por pessoas perigosas, isso tem de mudar!!!!... borá espalhar!!?... https://t.co…",1
"@user mata ele, a铆 n茫o tem como pensar mais em voltar",0
puta q pariu cólica do caralho,1
"meu pai acabou de me fuder, olha.. sinceramente, ta foda!",0
vsf vcs ae,1
"eu vi na tv que quem mto praticava(😈)era mais saudável 
eu fiquei 🤔🤔 acho que eu sou doente então",0
"pra quem não sabe quando um gato faz isso ele coloca as garras pra fora e dói pra cacete, imagina num neném que tem a pele super sensível https://t.co/xwK8sHJTQz",0
"@user cara, eu to mega iludida mas porra o são paulo não sei o que acontece sabe....estamos com um puta time, tem capacidade porque estamos disputando apenas o brasileiros FOCA NESSA PORRA QUE O TÍTULO VEM",1
rt @user quando vc não cuida da vida dos outros vc é mais feliz...,0
como vc acha q o gaara 茅// como ele realmente 茅,1
"@user @user Ele não apoiava o Abel, apenas defendia a permanência do Abel? Mas, que porra vc quis dizer? 
Você não entende q defender a permanência do Abel, seja qual for a justificativa, é defender o próprio Abel? Vc já se esqueceu do que o Abel fez no comando? É cego? Surdo?",1
tu e minha porra — vai se fuder sou de ninguem não https://t.co/leoc7dadeg,1
"so tenho 20 cntts no wpp, q fase pqp",1
"caraluo porra consefuimos.porra vai bras8l.porra.buceta 
caralho uhuuwusuauzhqjzhqudhajai
aaaaaaa",1
- ele também dá bastante conselhos para os seguidores no twitter (as vezes desabafa) mas na maioria das vezes posta coisas que a gente precisa ouvir. https://t.co/GJoKOfuFC8,0
brota que hoje vai rola na quele pique 🥳🇵🇦🥋🍬🚩🕺🏾🤑,0
"Boa BOLSONARO!
Mostra pra essa CAMBADA quem é que manda! PODEM ficar de mimimi, nunca meu voto foi tão recompensado!!
Quem não gostou, só chorar 🤷😉 https://t.co/Zu7075K84x",1
"@user trabalhar que 茅 bom, nada n茅?",0
"Machismo é um vírus do qual, por hereditariedade, o homem vira hospedeiro mental. Muitos manifestam sintomas, e existe quem desenvolva a doença total, a qual, para a mulher, pode ser letal. É preciso combater esse mal, o que requer rigor, mas sem necessariamente destruir o vetor!",0
rt @user o que te chama atenção fisicamente em um homem? — ser feio https://t.co/cus8nyjgs5,0
@user pequizeiro (to)...,0
@user @user posso dormir na sua casa nikao?,0
essa porra de remédio não serve para porra nenhuma vai tomar no cu capitalismo,1
"@user @user ô vagabunda, te amo, te considero irmão puta",1
"@user aah sim, coitadinho do @user e dia hackers “né não”? estão armando para as pobres vítimas!",1
"Merendeiras da rede municipal de ensino de Mafra receberam formação em Boas Práticas de Manipulação de Alimentos 🍌🍞🍛🥬🍪🥑🍰🥤🍳🍇

Acesse: (link: https://t.co/Z7WSy8rVOa) https://t.co/Z7WSy8rVOa https://t.co/oHFgi5anqB",0
kkkkkkkkk deus tarda mas n falha,0
@user vai a merda piranha grávida,1
"jm até mostra a bunda para jk, mas só na brotheragem mesmo",1
"Não sei como as pessoas n gostam tanto de vôlei e handball igual gostam de futebol, os nossos times tanto feminino qnt masculino são do caralho",0
"rt @user se eu fizer um videozinho desse de novo, vcs iriam querer participar? 

https://t.co/nf6v0jkhgq",0
tô até vendo que esse tempinho vai me foder.,1
"ser mãe é maior responsa da porra.. educar e ensinar valores, proteger sem querer colocar num potinho, mais q postar foto c legenda ""mamãe ama"" ou stories de rolê.. exige demais, saber q é responsa SUA oq vai ensinar e deixar de fazer tb.",1
la casa de papél vicia mesmo rs,0
"Denise Pires, Reitora da UFRJ, diz que a Universidade corre risco de parar caso não receba a verba do MEC para custeio de serviços como segurança e limpeza. Enquanto isso, o Ministro da Educação está muito preocupado em chamar Paulo Freire de feio... Prioridades, né?",0
"@user claro que sim!

paulinha na fab",0
tomar no cu ninguém quer,1
o bolso depois da facada,0
@user @user filho de monte gordo. #oxaláestivessefácil,0
eu nessa primeira semana de aula sabendo que vou ter que dividir meu tempo entre estudar e votar pra caralho #MPN #NowUnited #Uniters https://t.co/PbqRP1HzQ3,1
"rt @user eu olho pra essas coisas e penso:
deus criou o homem cis a partir de qual cu
 https://t.co/lwghrd22to",1
minha blusa transparente ta na casa da minha irmã desde o carnaval passado e eu achando que tinha perdido kkk,0
"rt @user mano, es só estúpido se nem a merda de um ovo sabes partir wtf https://t.co/v8by1xwrbe",1
@user pior nem eh isso. pior eh adiar esse jogo e não adiar a rodada quando for data fifa. isso que eh incoerência.,0
rt @user uma sexta muito louca (porque tá tudo dando errado),0
irmão que gosto lixo,1
"Bolsonaro usa as mídias sociais como meio de controlar a mídia. 

Todas as grandes redes de notícias acreditam que controlam o ciclo de notícias, mas, na realidade, Bolsonaro as controla através das mídias sociais.",0
ai irmão zero vontade de ir pro colégio hj pqp,0
@user no dia que minha filha completa 2 mês,0
senhor me dê paciência pq se me der força eu mato a minha irmã,0
na moral vai tomar no cu vei,1
torava todas essas japinha,1
eu nunca corri tanto no baile q nem ontem kkkkkkkkkk pqp,0
falecimento da senhora d陋 isaltina marques pinto de almeida -(84 anos) vir谩 amanh茫 domingo para a igreja de este... https://t.co/fnogt7houv,0
o que falar da exoneração do Ricardo Galvão... foda. Quando a gente acha que não tem mais como piorar o Governo Federal vai lá e faz a 29423849237492374973º merda do ano,1
"@user nossa ela 茅 sexy d+, mano n茫o deve ser humana isso n茫o",0
rt @user tá de sacanagem que mandaram ele se entregar né???? era pra ter matado fdp desse https://t.co/0p5dnwkerf,1
aí dodói kkk @user,0
@user meus sentimentos!! 😔😔,0
meus dois estados de espíritos,0
@user os cara tão puto que o povo tá jogando o jogo deles ué quem tiver a vantagem que a leve,0
"@user grampola e elias, puta que pariu, n茫o acertavam uma jogada.",0
"meu deus, q homem",0
"@user @user kkkkkkkkkkkk!
vc é um comediante mesmo!",0
o surto que foi nesse dia pq o baek tava gostoso pra caralho,1
@user se fizer bem feito eles entregam até a mãe.,0
"vou pechar a lenda do bane e vamo da um role diferenciado, hoje pode hoje é sexta feira aiaiai",0
"ai outra hora eu fa莽o uma header bem legalzinha pq o hobi merece, no momento to com preguicinha",0
rt @user é nosso porra tóquio foi sofrido chupaaaa,1
@user kkkkkkk ridícula,1
"seu guarda eu sou vagabunda, eu sou deliquente e principalmente uma mina carente!",0
"@user @user @user kkkkkkkkkkkkk eu ate sei quem é, retardada",1
"viva a vida enquanto vc esta vivo, pq dps que vc morrer, n vivera mais",0
rt @user eu quero distância desse povo pau no cú,1
@user porra eh isso!!!,1
"eu odeio, odeio quando minha mãe fica pedindo da minha ex, pqp essa mulher não esquece ela mds",0
@user falta pouco pra eu surtar,0
"@user @user @user @user @user @user Caralho. Tu é burro mesmo. Tinha 32 times na série B de 92. Tu queria que subissem 4?? A regra foi mudada antes do campeonato começar, antes mesmo do Grêmio saber em que posição ele iria ficar, tudo porque eram times demais e tinham que subir mais do que 4",0
se eu fizesse uma tatuagem assim meu avô infartaria,0
"@user caralho que merda, não fui a semana inteira pra escola quando vou deixo o neosoro lá kkkkkkkkkk só acontece comigo",1
"@user Apenas se beneficiando de um furto, uma ova. É conivente, se não for o patrocinador e mandante do furto, com o agravante de que é receptador confesso e, RECEPTADOR É CRIMINOSO. Recepção dá cadeia.",0
queria馃槩 #mpn #luansantana #luanetes #luansantanashow,0
amanhã vai ter festa agostina aqui na rua da minha casa,0
apaixonada com esse lugar,0
frio pra cacete e eu tenho que sair de tarde ainda bem que vou de uber e é rápido,0
uma hora tomo vergonha na cara,0
a foia não serve nem pra limpar o c....,0
sheilla e brait voltando caralhoooooo. meu tri tá vivo porraaaaaaaa vamo caralho vamoooo #voleinaglobo,0
@user vai trabalhar vagabundo!,1
"@user tem que ter est么mago para comentar essa atrocidade ,essa dupla de lixo,v茫o pagar com a vida na cadeia,os presos faram o servi莽o.",1
"No aniversário de 70 anos do clássico feminista ""O segundo sexo"", de Simone de Beauvoir, duas das vozes mais originais do debate sobre gênero, Paul B. Preciado e Virginie Despentes, comentam o legado da filósofa francesa na serrote 32 https://t.co/UQ8y0OzV6u",0
momento puta que pariu da semana !,0
meninas jogaram mt pqp ❤️❤️,0
tá tão difícil,0
eu nunca mais vou beber tanto igual ontem puta que pariu que raiva,0
"pai do céu,  livrai-nos do mural!!!!",0
eu sou muito fudida caralho,0
q luta se maquiar no carro pqp,0
"breno sempre copia meu capitão no cartola, namoro tóxico do caralho",1
"@user @user 6. E o mais triste, 茅 pra minha tia que finalmente entendeu o conceito de milhas, tava toda feliz que 铆a passear mais barateza entao n茫o queria largar m茫o MAS PORRA @user fortalece pq mds",0
gente pqp hoje eu descobri que as notificações tem o botão de ver mais,0
5hrinhas ausente e tudo vai pra puta que pariu,1
"@user @user Achei que isto não tinha nada a ver com política e sim com a verdade,hahahahah coloca o Putin, maduro, fica aparelho ímpar o PT quer revanchismo. Nós somos mais inteligente abre paga a família dos militares que foram vítimas. De igual para igual. Ponto vira a página.",0
"Minha mãe tá puta CMG pq dormi fora de casa se avisar nada 
Virei pra ela e falei 

""Morde as costas comédia, se Deus é por nós quem for contra tá fudido"" kkkkkkkkk",1
"eu amo muito meus amigos, 茅 isso",0
"melhor notícia de hoje foi que exo-sc ganhou seu primeiro win mesmo com toda a tentativa falha de boicote da parte de ""fã""... é o que eu digo acima do exo só o exo os refescos são ótimos kkk
 https://t.co/ctDdvkN0lj",0
"rt @user mô se eu não quero me meter na relação, mas não vale a pena dar moral pra vacilão",0
a pior coisa 茅 se despedir de quem ainda est谩 vivo,0
"rt @user @user @user pergunta  idiota...
claro  q estamos com moro,deltan e a lava-jato
e o sr de q lado está ????
🤔🤔🤔🤔🤔🤔…",1
@user @user talvez não seja sangue e sim porra (fica a reflexão),1
quer meda a buceta só por que to de pistola 🎶,1
vídeos que eu amo assistir na internet: racistas apanhando feio em qualquer região do planeta,1
era só o que me faltava agora as mamãe tem que ficar monitorando relacionamento de filho burro velho,1
@user só não to entendo esse tanto de curtida nesse twitter ridículo dela 🙄,1
"@user vergonha de todo lado meu amigo, essa imprensa ridícula ,como se não bastasse, vem esse idiota da oab",1
agonia do caralho kkkk,1
"Message to:

1. não tenho
2. hm kk bjs
3. espero que vc me faça bem
4. amo vcs
5. oi me conta vai que rola algo
6. me beija
7. te amo 
8. vai se fuder seu corno
9. linda te amoo 
10. tchauzinho

Drop an emoji for the questions!",1
"Fáltame moito para chegar a ter fillos, pero as historias que xiran arredor desta temática introducen reflexións e inquedanzas sobre as limitacións da esfera doméstica, a metamorfose do corpo e o cambio nas relacións interpersoais (+)",0
@user grande dia. menos um pra ficar falsiano números e atrapalhando o desenvolvinento do país,0
"@user @user @user @user @user @user Sim. Mal mas jogou. A posição dele é lateral direita. É la q faz bem, e lá q se destacou. Acho um IMBECILIDADE o clube focar suas duas maiores e inéditas contratações em uma só posição. Iss é idiota em tantos níveis q nem cabe aqui",0
rt @user essa porra não é gíria pra você falar pra qualquer um! https://t.co/3kjme17afi,1
rt @user foda que ela é linda e eu apenas sulista dançando brega funk https://t.co/b0564oigfw,0
"o objetivo desse texto não é mudar a opinião formada sobre mim de ninguém, e sim deixar claro que eu não sou satisfeito com quem eu sou, mas prometo me esforçar bastante pra melhorar.

obrigado pela atenção, espero ter ajudado alguém em conflito interno com isso.",0
@user @user kakakaka pqp,1
Um prov茅rbio japon锚s afirma que o ser humano possui 3 faces. A primeira 茅 aquela que mostramos para o mundo. A segunda 茅 aquela que mostramos para os amigos e fam铆lia. A terceira n茫o mostramos a ningu茅m. 脡 o verdadeiro reflexo de quem somos. Concorda?,0
@user @user para um idiota que conta os dias para eleger o ciro! to no lucro,1
@user @user @user @user kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk aaaaaah pqp mermão tá de sacanagem,0
isto está aborrecido para caralho,0
"@user boua vagabundo, 
ou 
good vagabond como ce diz na inglatera

lov &lt;3",1
arrumar conta é coisa de boiola !,1
@user o hacker não apareceu no starbucks e agora não virá mesmo. #hackertapresobabaca,0
"na moral,sol a semana todaaaaa,aí chega na minha folga o tempo fica esse cu,aí q odio",1
@user @user @user Você sabe se existe diferença entre um relatório financeiro do COAF e um inquérito policial ? Parece que não,0
"@user só reclama, vai se fuder",1
"eu to puto, pq não era nem p ter sido preso",0
"a gente tenta ser de boa mas não dá sabe
qnd tu vai emprestar algo tu empresta na maior boa vontade, aí quando chega na hora da pessoa te devolver, meu deus né, um empenho tomar no cu",1
rt @user vai me beijar quando filha da puta,1
então agr não pode mais gostar de raça negra pq eh moda? é q vocês sabem os gostos musicais de todo mundo né.. vão toma no cu,1
"Queria foder com @user desse jeito
#SINDICATODOSDIVULGADORES 
@user ™
@user
@user
@user
@user
@user
@user
@user
@user
@user
@user
@user
https://t.co/beAlZ2Vas8",1
@user @user vai comer o bebê também?,1
célula faz da casa lugar de vida https://t.co/88gzhtewsv,0
ganhamo porra isso aqui é brasil rumo a tokio,0
seu jeito exagerado que eu gostava,0
"@user Estou Fabiano. INTEGRIDADE, CARATER, HONRA, ETICA e DIGNIDADE ou se tem ou nao se tem. Nada é capaz de mudar. E nosso Capitao Bolsonaro ficou em meio a corja LADRA por quase 30 anos em BSB... e nao se corrompeu. 😎🇧🇷🇧🇷🇧🇷🇧🇷🥰",1
